

















Alan Howard      
Elijah Wood      
Noel Appleby     
Sean Astin       
Sala Baker       
Sean Bean        
Cate Blanchett   
Orlando Bloom    
Billy Boyd       
Marton Csokas    
Megan Edwards    
Michael Elsworth 
Mark Ferguson    
Ian Holm         
Christopher Lee  
Lawrence Makoare 
Andy Serkis      
Brent McIntyre   
Ian McKellen     
Peter McKenzie   
Sarah McLeod     
Dominic Monaghan 
Viggo Mortensen  
Ian Mune         
Craig Parker     
Cameron Rhodes   
Martyn Sanderson 
Harry Sinclair   
Liv Tyler        
David Weatherley 
Hugo Weaving     
Lee Hartley      
Sam La Hood      
Chris Streeter   
Phil Grieve      
Jonathan Jordan  
Semi Kuresa      
Clinton Ulyatt   
Paul Bryson      
Lance Fabian Kemp
Jono Manks       
Ben Price        
Billy Jackson    
Katie Jackson    
Peter Corrigan   
Lori Dungey      
Norman Forsey    
William Johnson  
Elizabeth Moody  
Brian Sergent    
Timothy Bartlett 
Jarl Benzon      
J?rn Benzon      
Rachel Clentworth
Sabine Crossen   
Taea Hartwell    
Peter Jackson    
Alan Lee         
Thomas McGinty   
Bret McKenzie    
Liz Merton       
Shane Rangi      






















































































































































































































































































































































































































































Noel Appleby     
Alexandra Astin  
Sean Astin       
David Aston      
John Bach        
Sean Bean        
Cate Blanchett   
Orlando Bloom    
Billy Boyd       
Sadwyn Brophy    
Alistair Browning
Marton Csokas    
Richard Edge     
Jason Fitch      
Bernard Hill     
Ian Holm         
Bruce Hopkins    
Ian Hughes       
Lawrence Makoare 
Ian McKellen     
Bret McKenzie    
Sarah McLeod     
Dominic Monaghan 
Viggo Mortensen  
John Noble       
Paul Norell      
Miranda Otto     
Bruce Phillips   
Shane Rangi      
Todd Rippon      
Thomas Robins    
Andy Serkis      
Harry Sinclair   
Peter Tait       
Joel Tobeck      
Liv Tyler        
Karl Urban       
Stephen Ure      
Hugo Weaving     
David Wenham     
Elijah Wood      
Alan Howard      
Sala Baker       
Robert Pollock   
Ross Duncan      
Pete Smith       
Jed Brophy       
Lee Hartley      
Billy Jackson    
Katie Jackson    
Brad Dourif      
Christopher Lee  
Bruce Spence     
J?rn Benzon      
Peter Jackson    
Royd Tolkien     




































































